"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292723709000","18.87"
"1292723942000","18.89"
"1292724174000","18.87"
"1292724407000","18.89"
"1292724639000","18.87"
"1292725104000","18.89"
"1292725337000","18.87"
"1292725569000","18.89"
"1292726034000","18.87"
"1292726499000","18.89"
"1292726732000","18.87"
"1292726964000","18.89"
"1292727894000","18.87"
"1292728127000","18.89"
"1292728359000","18.87"
"1292728592000","18.89"
"1292729057000","18.87"
"1292729289000","18.89"
"1292732777000","18.87"
"1292733009000","18.89"
"1292733707000","18.87"
"1292733939000","18.89"
"1292734404000","18.87"
"1292734637000","18.89"
"1292735102000","18.87"
"1292735799000","18.89"
"1292736032000","18.87"
"1292737427000","18.89"
"1292737892000","18.87"
"1292738822000","18.89"
"1292739054000","18.87"
"1292739287000","18.89"
"1292739519000","18.87"
"1292741844000","18.89"
"1292742077000","18.87"
"1292742309000","18.89"
"1292742774000","18.87"
"1292743472000","18.89"
"1292743704000","18.87"
"1292744634000","18.89"
"1292744867000","18.87"
"1292746262000","18.89"
"1292746494000","18.87"
"1292748122000","18.89"
"1292748354000","18.87"
"1292749052000","18.89"
"1292749284000","18.87"
"1292752539000","18.89"
"1292752772000","18.87"
"1292753004000","18.89"
"1292753237000","18.87"
"1292753469000","18.89"
"1292754864000","18.87"
"1292755097000","18.89"
"1292755562000","18.87"
"1292755794000","18.89"
"1292756492000","18.87"
"1292756724000","18.89"
"1292756957000","18.87"
"1292757887000","18.89"
"1292758119000","18.87"
"1292763467000","18.89"
"1292763699000","18.87"
"1292765094000","18.89"
"1292765327000","18.87"
"1292766722000","18.89"
"1292767187000","18.87"
"1292769047000","18.89"
"1292769279000","18.87"
"1292769744000","18.89"
"1292769977000","18.87"
"1292775324000","18.89"
"1292775557000","18.87"
"1292776022000","18.89"
"1292778114000","18.87"
"1292778812000","18.89"
"1292779277000","18.87"
"1292779742000","18.89"
"1292780672000","18.87"
"1292780904000","18.89"
"1292783229000","18.87"
"1292784392000","18.89"
"1292784624000","18.87"
"1292785787000","18.89"
"1292786252000","18.87"
"1292786484000","18.89"
"1292786717000","18.87"
"1292787182000","18.89"
"1292787414000","18.87"
"1292788112000","18.89"
"1292788809000","18.87"
"1292789274000","18.89"
"1292789739000","18.87"
"1292789972000","18.89"
"1292790204000","18.87"
"1292790437000","18.89"
"1292790669000","18.87"
"1292791599000","18.89"
"1292792064000","18.87"
"1292792297000","18.89"
"1292792529000","18.87"
"1292793692000","18.89"
"1292793924000","18.87"
"1292796249000","18.89"
"1292796482000","18.87"
"1292797644000","18.89"
"1292798807000","18.87"
"1292799504000","18.89"
"1292800202000","18.87"
"1292800434000","18.89"
"1292800667000","18.87"
"1292800899000","18.89"
"1292801597000","18.87"
"1292801829000","18.89"
"1292802527000","18.87"
"1292802759000","18.89"
"1292803457000","18.87"
"1292803689000","18.89"
"1292803922000","18.87"
"1292804852000","18.89"
"1292806479000","18.87"
"1292807177000","18.89"
"1292807642000","18.87"
"1292807874000","18.89"
"1292808804000","18.87"
"1292809967000","18.89"
"1292810897000","18.87"
"1292811129000","18.89"
"1292811362000","18.87"
"1292811594000","18.89"
"1292813454000","18.87"
"1292813687000","18.89"
"1292813919000","18.87"
"1292815314000","18.89"
"1292815547000","18.87"
"1292816012000","18.89"
"1292816244000","18.87"
"1292816942000","18.89"
"1292817174000","18.87"
"1292817407000","18.89"
"1292817639000","18.87"
"1292817872000","18.89"
"1292818337000","18.87"
"1292819034000","18.89"
"1292819267000","18.87"
"1292820429000","18.89"
"1292820662000","18.87"
"1292821127000","18.89"
"1292821592000","18.87"
"1292822754000","18.89"
"1292823219000","18.87"
"1292823452000","18.89"
"1292823917000","18.87"
"1292824382000","18.89"
"1292824614000","18.87"
"1292824847000","18.89"
"1292825079000","18.87"
"1292826009000","18.89"
"1292826474000","18.87"
"1292826707000","18.89"
"1292827404000","18.87"
"1292829729000","18.89"
"1292829962000","18.87"
"1292830659000","18.89"
"1292830892000","18.87"
"1292831357000","18.89"
"1292832054000","18.87"
"1292832519000","18.89"
"1292833217000","18.87"
"1292833449000","18.89"
"1292834147000","18.87"
"1292836007000","18.89"
"1292836704000","18.87"
"1292836937000","18.89"
"1292837402000","18.87"
"1292837634000","18.89"
"1292837867000","18.87"
"1292838099000","18.89"
"1292840424000","18.87"
"1292841587000","18.89"
"1292843447000","18.87"
"1292844377000","18.89"
"1292844842000","18.87"
"1292845074000","18.89"
"1292846004000","18.87"
"1292846237000","18.89"
"1292849027000","18.87"
"1292849259000","18.89"
"1292849957000","18.87"
"1292850189000","18.89"
"1292851352000","18.87"
"1292851817000","18.89"
"1292852282000","18.87"
"1292853909000","18.89"
"1292854142000","18.87"
"1292854839000","18.89"
"1292855072000","18.87"
"1292855304000","18.89"
"1292855537000","18.87"
"1292856234000","18.89"
"1292856467000","18.87"
"1292857629000","18.89"
"1292858094000","18.87"
"1292859954000","18.89"
"1292860187000","18.87"
"1292861349000","18.85"
"1292861582000","18.87"
"1292863674000","18.85"
"1292863907000","18.87"
"1292864139000","18.85"
"1292864837000","18.87"
"1292865534000","18.85"
"1292866232000","18.87"
"1292867162000","18.85"
"1292867859000","18.87"
"1292868324000","18.85"
"1292869254000","18.87"
"1292869487000","18.85"
"1292871579000","18.87"
"1292871812000","18.85"
"1292875067000","18.83"
"1292875299000","18.85"
"1292876927000","18.83"
"1292877392000","18.85"
"1292877857000","18.83"
"1292878554000","18.85"
"1292878787000","18.83"
"1292879949000","18.85"
"1292880182000","18.83"
"1292881809000","18.85"
"1292882042000","18.83"
"1292883669000","18.85"
"1292883902000","18.83"
"1292884832000","18.85"
"1292885064000","18.83"
"1292885529000","18.85"
"1292885762000","18.83"
"1292886227000","18.85"
"1292886459000","18.83"
"1292887622000","18.85"
"1292887854000","18.83"
"1292888087000","18.85"
"1292888319000","18.83"
"1292888552000","18.85"
"1292888784000","18.83"
"1292889947000","18.85"
"1292890179000","18.83"
"1292892969000","18.85"
"1292893202000","18.83"
"1292893667000","18.85"
"1292893899000","18.83"
