"Monitor PT1000 Plus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1292807659000","18.96"
"1292809114000","18.94"
"1292810569000","18.96"
"1292810812000","18.94"
"1292811539000","18.96"
"1292812024000","18.94"
"1292812267000","18.96"
"1292814934000","18.94"
"1292815177000","18.96"
"1292816389000","18.94"
"1292816874000","18.96"
"1292817117000","18.94"
"1292817359000","18.96"
"1292818329000","18.94"
"1292818572000","18.96"
"1292818814000","18.94"
"1292820027000","18.96"
"1292820269000","18.94"
"1292820997000","18.96"
"1292821239000","18.94"
"1292821482000","18.96"
"1292821967000","18.94"
"1292822209000","18.96"
"1292823179000","18.94"
"1292823422000","18.96"
"1292823907000","18.94"
"1292824149000","18.96"
"1292824392000","18.94"
"1292824634000","18.96"
"1292824877000","18.94"
"1292825847000","18.96"
"1292826089000","18.94"
"1292826332000","18.96"
"1292826574000","18.94"
"1292827302000","18.96"
"1292827787000","18.94"
"1292828514000","18.96"
"1292828757000","18.94"
"1292829484000","18.96"
"1292829969000","18.94"
"1292830697000","18.96"
"1292832394000","18.94"
"1292833364000","18.96"
"1292833849000","18.94"
"1292834577000","18.96"
"1292835304000","18.94"
"1292836032000","18.96"
"1292836517000","18.94"
"1292839427000","18.96"
"1292839669000","18.94"
"1292843792000","18.96"
"1292844034000","18.94"
"1292844277000","18.96"
"1292844519000","18.94"
"1292847187000","18.96"
"1292847429000","18.94"
"1292850339000","18.92"
"1292850582000","18.94"
"1292851794000","18.92"
"1292852037000","18.94"
"1292856159000","18.96"
"1292856402000","18.94"
"1292856644000","18.96"
"1292856887000","18.94"
"1292859554000","18.96"
"1292859797000","18.94"
"1292860039000","18.96"
"1292860282000","18.94"
"1292860524000","18.96"
"1292860767000","18.94"
"1292861252000","18.92"
"1292861494000","18.94"
"1292861979000","18.96"
"1292862222000","18.94"
"1292865859000","18.92"
"1292866102000","18.94"
"1292866344000","18.96"
"1292866587000","18.94"
"1292868042000","18.92"
"1292868284000","18.94"
"1292870467000","18.96"
"1292870709000","18.94"
"1292874347000","18.96"
"1292874589000","18.94"
"1292880894000","18.96"
"1292881137000","18.94"
"1292898354000","18.92"
"1292898597000","18.94"
"1292900052000","18.92"
"1292900294000","18.94"
"1292903689000","18.92"
"1292903932000","18.94"
"1292904417000","18.92"
"1292904659000","18.94"
"1292905629000","18.92"
"1292905872000","18.94"
"1292910237000","18.92"
"1292910479000","18.94"
"1292911449000","18.92"
"1292911692000","18.94"
"1292915087000","18.92"
"1292915329000","18.94"
"1292917754000","18.92"
"1292917997000","18.94"
"1292918239000","18.92"
"1292918482000","18.94"
"1292918724000","18.92"
"1292918967000","18.94"
"1292919694000","18.92"
"1292919937000","18.94"
"1292920422000","18.92"
"1292920664000","18.94"
"1292920907000","18.92"
"1292921392000","18.94"
"1292923332000","18.92"
"1292923574000","18.94"
"1292924302000","18.92"
"1292924544000","18.94"
"1292925029000","18.92"
"1292925514000","18.94"
"1292925757000","18.92"
"1292926242000","18.94"
"1292926727000","18.92"
"1292927697000","18.94"
"1292927939000","18.92"
"1292929394000","18.94"
"1292929879000","18.92"
"1292931092000","18.94"
"1292931577000","18.92"
"1292932304000","18.94"
"1292933759000","18.92"
"1292934002000","18.94"
"1292934729000","18.92"
"1292934972000","18.94"
"1292935699000","18.92"
"1292936184000","18.94"
"1292936427000","18.92"
"1292937882000","18.94"
"1292938124000","18.92"
"1292939579000","18.94"
"1292939822000","18.92"
"1292940307000","18.94"
"1292940549000","18.92"
"1292941034000","18.94"
"1292941277000","18.92"
"1292943944000","18.94"
"1292944429000","18.92"
"1292944672000","18.94"
"1292944914000","18.92"
"1292948309000","18.89"
"1292948552000","18.92"
"1292955827000","18.94"
"1292956069000","18.92"
"1292957039000","18.94"
"1292957282000","18.92"
"1292959707000","18.89"
"1292959949000","18.92"
"1292962859000","18.94"
"1292963102000","18.92"
"1292966739000","18.89"
"1292966982000","18.92"
"1292967709000","18.89"
"1292967952000","18.92"
"1292971347000","18.89"
"1292972559000","18.92"
"1292973287000","18.89"
"1292973529000","18.92"
"1292973772000","18.89"
"1292974014000","18.92"
"1292974742000","18.89"
"1292974984000","18.92"
"1292975227000","18.89"
"1292975712000","18.92"
"1292975954000","18.89"
"1292976197000","18.92"
"1292976439000","18.89"
"1292976682000","18.92"
"1292977409000","18.89"
"1292977652000","18.92"
"1292979349000","18.89"
"1292979834000","18.92"
"1292980077000","18.89"
"1292980319000","18.92"
"1292980804000","18.89"
